Id,Name,PositionLatitude,PositionLongitude,Address,ZipCode,City,AcceptsCard,TotalStands
1,CLARENDON ROW,53.340927,-6.262501,Clarendon Row,000000,Dublin,0,31
2,BLESSINGTON STREET,53.356769,-6.26814,Blessington Street,000000,Dublin,0,20
3,BOLTON STREET,53.351182,-6.269859,Bolton Street,000000,Dublin,0,20
4,GREEK STREET,53.346874,-6.272976,Greek Street,000000,Dublin,0,20
5,CHARLEMONT PLACE,53.330662,-6.260177,Charlemont Street,000000,Dublin,0,40
6,CHRISTCHURCH PLACE,53.343368,-6.27012,Christchurch Place,000000,Dublin,0,20
7,HIGH STREET,53.343565,-6.275071,High Street,000000,Dublin,0,29
8,CUSTOM HOUSE QUAY,53.347884,-6.248048,Custom House Quay,000000,Dublin,0,30
9,EXCHEQUER STREET,53.343034,-6.263578,Exchequer Street,000000,Dublin,0,24
10,DAME STREET,53.344007,-6.266802,Dame Street,000000,Dublin,1,16
11,EARLSFORT TERRACE,53.334295,-6.258503,Earlsfort Terrace,000000,Dublin,0,30
12,ECCLES STREET,53.359246,-6.269779,Eccles Street,000000,Dublin,0,20
13,FITZWILLIAM SQUARE WEST,53.336074,-6.252825,Fitzwilliam Square West,000000,Dublin,0,30
14,FOWNES STREET UPPER,53.344603,-6.263371,Fownes Street Upper,000000,Dublin,0,30
15,HARDWICKE STREET,53.355473,-6.264423,Hardwicke Street,000000,Dublin,0,16
16,GEORGES QUAY,53.347508,-6.252192,Georges Quay,000000,Dublin,0,20
17,GOLDEN LANE,53.340803,-6.267732,Golden Lane,000000,Dublin,0,20
18,GRANTHAM STREET,53.334123,-6.265436,Grantham Street,000000,Dublin,0,30
19,HERBERT PLACE,53.334432,-6.245575,Herbert Place,000000,Dublin,0,30
20,JAMES STREET EAST,53.336597,-6.248109,James Street East,000000,Dublin,0,30
21,LEINSTER STREET SOUTH,53.34218,-6.254485,Leinster Street South,000000,Dublin,0,30
22,TOWNSEND STREET,53.345922,-6.254614,Townsend Street,000000,Dublin,0,20
23,CUSTOM HOUSE,53.348279,-6.254662,Custom House,000000,Dublin,0,30
24,CATHAL BRUGHA STREET,53.352149,-6.260533,Cathal Brugha Street,000000,Dublin,0,20
25,MERRION SQUARE EAST,53.339434,-6.246548,Merrion Square East,000000,Dublin,0,30
26,MERRION SQUARE WEST,53.339764,-6.251988,Merrion Square West,000000,Dublin,1,20
27,MOLESWORTH STREET,53.341288,-6.258117,Molesworth Street,000000,Dublin,0,20
28,MOUNTJOY SQUARE WEST,53.356299,-6.258586,Mountjoy Square West,000000,Dublin,0,30
29,ORMOND QUAY UPPER,53.346057,-6.268001,Ormond Quay Upper,000000,Dublin,0,29
30,PARNELL SQUARE NORTH,53.3537415547453,-6.26530144781526,Parnell Square North,000000,Dublin,0,20
31,PARNELL STREET,53.350929,-6.265125,Parnell Street,000000,Dublin,0,20
32,PEARSE STREET,53.344304,-6.250427,Pearse Street,000000,Dublin,0,30
33,PRINCES STREET / O'CONNELL STREET,53.349013,-6.260311,Princes Street / O'Connell Street,000000,Dublin,1,23
34,PORTOBELLO HARBOUR,53.330362,-6.265163,Portobello Harbour,000000,Dublin,0,30
35,SMITHFIELD,53.347692,-6.278214,Smithfield,000000,Dublin,0,30
36,ST. STEPHEN'S GREEN EAST,53.337824,-6.256035,St. Stephen's Green East,000000,Dublin,0,40
37,ST. STEPHEN'S GREEN SOUTH,53.337494,-6.26199,St. Stephen's Green South,000000,Dublin,1,30
38,TALBOT STREET,53.350974,-6.25294,Talbot Street,000000,Dublin,0,40
39,WILTON TERRACE,53.332383,-6.252717,Wilton Terrace,000000,Dublin,0,20
40,JERVIS STREET,53.3483,-6.266651,Jervis Street,000000,Dublin,0,21
41,HARCOURT TERRACE,53.332763,-6.257942,Harcourt Terrace,000000,Dublin,0,20
42,SMITHFIELD NORTH,53.349562,-6.278198,Smithfield North,000000,Dublin,0,30
43,PORTOBELLO ROAD,53.330091,-6.268044,Portobello Road,000000,Dublin,0,30
44,UPPER SHERRARD STREET,53.358437,-6.260641,Upper Sherrard Street,000000,Dublin,0,30
45,DEVERELL PLACE,53.351464,-6.255265,Deverell Place,000000,Dublin,0,30
47,HERBERT STREET,53.335742,-6.24551,Herbert Street,000000,Dublin,0,40
48,EXCISE WALK,53.347777,-6.244239,Excise Walk,000000,Dublin,0,40
49,GUILD STREET,53.347932,-6.240928,Guild Street,000000,Dublin,0,40
50,GEORGES LANE,53.35023,-6.279696,George's Lane,000000,Dublin,0,40
51,YORK STREET WEST,53.339334,-6.264699,York Street West,000000,Dublin,0,40
52,YORK STREET EAST,53.338755,-6.262003,York Street East,000000,Dublin,0,32
53,NEWMAN HOUSE,53.337132,-6.26059,Newman House,000000,Dublin,0,40
54,CLONMEL STREET,53.336021,-6.26298,Clonmel Street,000000,Dublin,0,33
55,HATCH STREET,53.33403,-6.260714,Hatch Street,000000,Dublin,0,36
56,MOUNT STREET LOWER,53.33796,-6.24153,Mount Street Lower,000000,Dublin,0,40
57,GRATTAN STREET,53.339629,-6.243778,Grattan Street,000000,Dublin,0,23
58,SIR PATRICK DUN'S,53.339218,-6.240642,Sir Patrick's Dun,000000,Dublin,0,40
59,DENMARK STREET GREAT,53.35561,-6.261397,Denmark Street Great,000000,Dublin,0,20
60,NORTH CIRCULAR ROAD,53.359624,-6.260348,North Circular Road,000000,Dublin,0,30
61,HARDWICKE PLACE,53.357043,-6.263232,Hardwicke Place,000000,Dublin,0,25
62,LIME STREET,53.346026,-6.243576,Lime Street,000000,Dublin,0,40
63,FENIAN STREET,53.341428,-6.24672,Fenian Street,000000,Dublin,0,35
64,SANDWITH STREET,53.345203,-6.247163,Sandwith Street,000000,Dublin,0,40
65,CONVENTION CENTRE,53.34744,-6.238523,Convention Centre,000000,Dublin,1,40
66,NEW CENTRAL BANK,53.347122,-6.234749,New Central Bank,000000,Dublin,0,40
67,THE POINT,53.346867,-6.230852,The Point,000000,Dublin,0,40
68,HANOVER QUAY,53.344115,-6.237153,Hanover Quay,000000,Dublin,0,40
69,GRAND CANAL DOCK,53.342638,-6.238695,Grand Canal Dock,000000,Dublin,0,40
71,KEVIN STREET,53.337757,-6.267699,Kevin Street,000000,Dublin,0,40
72,JOHN STREET WEST,53.343105,-6.277167,John Street West,000000,Dublin,0,31
73,FRANCIS STREET,53.342081,-6.275233,Francis Street,000000,Dublin,0,30
74,OLIVER BOND STREET,53.343893,-6.280531,Oliver Bond Street,000000,Dublin,0,30
75,JAMES STREET,53.343456,-6.287409,James Street,000000,Dublin,0,40
76,MARKET STREET SOUTH,53.342296,-6.287661,Market Street South,000000,Dublin,0,38
77,WOLFE TONE STREET,53.348875,-6.267459,Wolfe Tone Street,000000,Dublin,0,29
78,MATER HOSPITAL,53.359967,-6.264828,Mater Hospital,000000,Dublin,0,40
79,ECCLES STREET EAST,53.358115,-6.265601,Eccles Street East,000000,Dublin,0,27
80,ST JAMES HOSPITAL (LUAS),53.341359,-6.292951,St James Hospital (Luas),000000,Dublin,0,40
82,MOUNT BROWN,53.341645,-6.29719,Mount Brown,000000,Dublin,0,22
83,EMMET ROAD,53.340714,-6.308191,Emmet Road,000000,Dublin,0,40
84,BROOKFIELD ROAD,53.339005,-6.300217,Brookfield Road,000000,Dublin,0,30
85,ROTHE ABBEY,53.338776,-6.30395,Rothe Abbey,000000,Dublin,0,35
86,PARKGATE STREET,53.347972,-6.291804,Parkgate Street,000000,Dublin,0,38
87,COLLINS BARRACKS MUSEUM,53.347477,-6.28525,Collins Barracks Museum,000000,Dublin,0,38
88,BLACKHALL PLACE,53.3488,-6.281637,Blackhall Place,000000,Dublin,0,30
89,FITZWILLIAM SQUARE EAST,53.335211,-6.2509,Fitzwilliam Square East,000000,Dublin,0,40
90,BENSON STREET,53.344153,-6.233451,Benson Street,000000,Dublin,0,40
91,SOUTH DOCK ROAD,53.341833,-6.231291,South Dock Road,000000,Dublin,0,30
92,HEUSTON BRIDGE (NORTH),53.347802,-6.292432,Heuston Bridge (North),000000,Dublin,0,40
93,HEUSTON STATION (CENTRAL),53.346603,-6.296924,Heuston Station (Central),000000,Dublin,0,40
94,HEUSTON STATION (CAR PARK),53.346985,-6.297804,Heuston Station (Car Park),000000,Dublin,0,40
95,ROYAL HOSPITAL,53.343897,-6.29706,Royal Hospital,000000,Dublin,0,40
96,KILMAINHAM LANE,53.341805,-6.305085,Kilmainham Lane,000000,Dublin,0,30
97,KILMAINHAM GAOL,53.342113,-6.310015,Kilmainham Gaol,000000,Dublin,0,40
98,FREDERICK STREET SOUTH,53.341515,-6.256853,Frederick Street South,000000,Dublin,0,40
99,CITY QUAY,53.346637,-6.246154,City Quay,000000,Dublin,0,30
100,HEUSTON BRIDGE (SOUTH),53.347106,-6.292041,Heuston Bridge (South),000000,Dublin,0,25
101,KING STREET NORTH,53.350291,-6.273507,King Street North,000000,Dublin,0,30
102,WESTERN WAY,53.354929,-6.269425,Western Way,000000,Dublin,0,40
103,GRANGEGORMAN LOWER (SOUTH),53.354663,-6.278681,Grangegorman Lower (South),000000,Dublin,0,40
104,GRANGEGORMAN LOWER (CENTRAL),53.355173,-6.278424,Grangegorman Lower (Central),000000,Dublin,0,40
105,GRANGEGORMAN LOWER (NORTH),53.355954,-6.278378,Grangegorman Lower (North),000000,Dublin,0,36
106,RATHDOWN ROAD,53.35893,-6.280337,Rathdown Road,000000,Dublin,0,40
107,CHARLEVILLE ROAD,53.359157,-6.281866,Charleville Road,000000,Dublin,0,40
108,AVONDALE ROAD,53.359405,-6.276142,Avondale Road,000000,Dublin,0,35
109,BUCKINGHAM STREET LOWER,53.353331,-6.249319,Buckingham Street Lower,000000,Dublin,0,29
110,PHIBSBOROUGH ROAD,53.356307,-6.273717,Phibsborough Road,000000,Dublin,0,40
111,MOUNTJOY SQUARE EAST,53.356717,-6.256359,Mountjoy Square East,000000,Dublin,0,40
112,NORTH CIRCULAR ROAD (O'CONNELL'S),53.357841,-6.251557,North Circular Road (O'Connell's),000000,Dublin,0,30
113,MERRION SQUARE SOUTH,53.338614,-6.248606,Merrion Square South,000000,Dublin,0,40
114,WILTON TERRACE (PARK),53.333653,-6.248345,Wilton Terrace (Park),000000,Dublin,0,40
115,KILLARNEY STREET,53.354845,-6.247579,Killarney Street,000000,Dublin,0,30
116,BROADSTONE,53.3547,-6.272314,Broadstone,000000,Dublin,0,30
117,HANOVER QUAY EAST,53.343653,-6.231755,Hanover Quay East,000000,Dublin,0,40
